Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
acoustic guitar,#REF!,Blue,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Blue,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj
acoustic guitar,#REF!,White,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,White,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF
acoustic guitar,#REF!,Black,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Black,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m
acoustic guitar,#REF!,Pink,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Pink,White,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B
alto saxophone,#REF!,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,3400,850,Yellow,Yellow,1x1,No,3100,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAltosax,NA,846,yAj7DyFRDjWbh7qYP
amazing machine,#REF!,Silver,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Gray,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_0_0,0_0,13516,KMRdcmR2J8GJh6nuJ
amazing machine,#REF!,White,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,White,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_1_0,1_0,13516,aNHLnrckdSpSaWpz8
amazing machine,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Black,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_2_0,2_0,13516,sHZZAGBYAwxCCreh6
amazing machine,#REF!,Green,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Green,Gray,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_3_0,3_0,13516,d4MPWirqS8dXLRmq8
amazing machine,#REF!,Blue,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Blue,Brown,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_4_0,4_0,13516,zAAjv2dFWNNmkTuNw
amazing machine,#REF!,Red,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Red,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_5_0,5_0,13516,TJ6PNAAJNFkWcbvni
amazing machine,#REF!,Yellow,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Yellow,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_6_0,6_0,13516,fTged5ygWqbGqzRn9
amazing machine,#REF!,Damaged,Color,NA,NA,No,No,No,NA,NA,None,5200,140000,35000,Gray,Black,2x1,Yes,126000,Poki,Nook's Cranny; HHP Office,,NA,NA,151,lab,sci-fi,None,None,None,Yes,Facility Decor,No,Does not play music,No lighting,For sale,2.0.0,Yes,FtrMadMachineA_Remake_7_0,7_0,13516,QwnSt6qWjfAFB4j3i
amp,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Black,Brown,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos
amp,#REF!,White,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,White,Gray,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN
amp,#REF!,Orange,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Orange,Black,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv
amp,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Brown,Beige,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ
amp,#REF!,Blue,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Blue,Black,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY
amp,#REF!,Red,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Red,Black,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_5_0,5_0,849,9PHmPyxF6fjKgGzKA
amp,#REF!,Pink,Color,NA,NA,No,No,No,NA,NA,None,1700,5100,1275,Pink,Gray,1x1,No,4600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,concert,None,None,None,None,No,Audio,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAmp_Remake_6_0,6_0,849,yivR6nwwzFWyQ5ogM
anatomical model,#REF!,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,3500,875,Colorful,Beige,1x1,No,3200,Poki,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,lab,None,None,None,No,Hospital,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAnatomicalmodel,NA,1317,t2LzAKDofAZYyqZ6r
anchor statue,#REF!,Black,Color,NA,NA,No,Yes,No,NA,2,Normal,1700,NFS,1400,Black,Beige,1x1,No,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC
anchor statue,#REF!,Silver,Color,NA,NA,No,Yes,No,NA,2,Normal,1700,NFS,1400,Gray,Beige,1x1,No,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrShipanchor_Remake_1_0,1_0,7238,hdZokWHmfoFTt2FjM
anchor statue,#REF!,Gold,Color,NA,NA,No,Yes,No,NA,2,Normal,1700,NFS,1400,Brown,Beige,1x1,No,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrShipanchor_Remake_2_0,2_0,7238,NNfoBT2rgDcmG5HhD
anchor statue,#REF!,White,Color,NA,NA,No,Yes,No,NA,2,Normal,1700,NFS,1400,White,Beige,1x1,No,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrShipanchor_Remake_3_0,3_0,7238,ZWyY2rRANgXoGcDha
anchor statue,#REF!,Blue,Color,NA,NA,No,Yes,No,NA,2,Normal,1700,NFS,1400,Blue,White,1x1,No,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrShipanchor_Remake_4_0,4_0,7238,vRhn2x3vj2mii4AKH
anchor statue,#REF!,Retro,Color,NA,NA,No,Yes,No,NA,2,Normal,1700,NFS,1400,Brown,Gray,1x1,No,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrShipanchor_Remake_5_0,5_0,7238,6wyLNus8QqXkbBu72
angled signpost,#REF!,Home,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_0_0,0_0,7867,kzirasu23o7Xwz8Cg
angled signpost,#REF!,Forest,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_1_0,1_0,7867,8MxLKTxpMDwarBE2M
angled signpost,#REF!,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_2_0,2_0,7867,uvn5kiMi84NMuesmb
angled signpost,#REF!,Resident Services,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp
angled signpost,#REF!,Airport,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_4_0,4_0,7867,BGaTv6ghfWHQohYJz
angled signpost,#REF!,Shop,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_5_0,5_0,7867,QNTrffSxKbCJH3C2s
angled signpost,#REF!,Tailors,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_6_0,6_0,7867,TW9n423omNZDjZ9hp
angled signpost,#REF!,Museum,Navigation,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrSignpostTilt_Remake_7_0,7_0,7867,wPX6wELbCn9Jyb37A
antique bed,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,5200,28000,7000,Brown,White,2x2,No,25200,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Bed,Bed,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueBedW_Remake_0_0,0_0,3957,c7rQKnQBvtMCpGNhr
antique bed,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,5200,28000,7000,Beige,White,2x2,No,25200,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Bed,Bed,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueBedW_Remake_1_0,1_0,3957,gMCFieFjJLX4yXBPJ
antique bed,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,28000,7000,Black,White,2x2,No,25200,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Bed,Bed,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S
antique bureau,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,5200,20000,5000,Brown,Brown,1x1,No,18000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueBureau_Remake_0_0,0_0,3956,eqP7Ro4PzjhZFGMaX
antique bureau,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,5200,20000,5000,Beige,Beige,1x1,No,18000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueBureau_Remake_1_0,1_0,3956,PwbzwqaKiZ7CPKgh6
antique bureau,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,20000,5000,Black,Black,1x1,No,18000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueBureau_Remake_2_0,2_0,3956,nTM9BgbxMArEAuPda
antique chair,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,3100,10000,2500,Brown,White,1x1,No,9000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueChairS_Remake_0_0,0_0,3950,gzBvzGmkCqvaa4dfg
antique chair,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,3100,10000,2500,Beige,White,1x1,No,9000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueChairS_Remake_1_0,1_0,3950,d4oC34hgWHdZAv8dT
antique chair,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,3100,10000,2500,Black,White,1x1,No,9000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueChairS_Remake_2_0,2_0,3950,eCZttstT4S3Tr4ZSj
antique clock,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,5200,44000,11000,Brown,Yellow,1x1,No,39600,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Clock,Yes,Folk Craft Decor,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueClock_Remake_0_0,0_0,3954,54WzSWz3bv4j4279w
antique clock,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,5200,44000,11000,Beige,Yellow,1x1,No,39600,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Clock,Yes,Folk Craft Decor,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueClock_Remake_1_0,1_0,3954,aPDaateHnZ2K7rnCX
antique clock,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,44000,11000,Black,Yellow,1x1,No,39600,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Clock,Yes,Folk Craft Decor,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueClock_Remake_2_0,2_0,3954,prDor5kTcy7ahzz5c
antique console table,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,4500,17000,4250,Brown,Brown,2x1,Yes,15300,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueConsole_Remake_0_0,0_0,3951,kKSfnnXLBk2BMbWEo
antique console table,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,4500,17000,4250,Beige,Beige,2x1,Yes,15300,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueConsole_Remake_1_0,1_0,3951,SBphLepffHinkmtPf
antique console table,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,4500,17000,4250,Black,Black,2x1,Yes,15300,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueConsole_Remake_2_0,2_0,3951,7i4eJMFhi2gzqMEZ8
antique mini table,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,2400,6700,1675,Brown,White,1x1,Yes,6000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueTableS_Remake_0_0,0_0,3958,WZyBrwSZD4wZtqcBJ
antique mini table,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,2400,6700,1675,Beige,White,1x1,Yes,6000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueTableS_Remake_1_0,1_0,3958,epWuBMh226r3nu7xh
antique mini table,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,2400,6700,1675,Black,White,1x1,Yes,6000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueTableS_Remake_2_0,2_0,3958,2n955ZXXD3RXt9gjE
antique table,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,5200,25000,6250,Brown,Brown,2x2,Yes,22500,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueTableL_Remake_0_0,0_0,3952,F4jrEYe9x7W4E2wYE
antique table,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,5200,25000,6250,Beige,Beige,2x2,Yes,22500,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueTableL_Remake_1_0,1_0,3952,ptPHtvKpF2JCkS9Zw
antique table,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,25000,6250,Black,Black,2x2,Yes,22500,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueTableL_Remake_2_0,2_0,3952,x2K5wv9K8qGXcmukB
antique vanity,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,5200,31000,7750,Brown,Aqua,2x1,No,27900,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Dresser,Mirror,Dresser,No,Does not play music,No lighting,For sale,1.0.0,Yes,FtrAntiqueDresser_Remake_0_0,0_0,3955,qLtWDehmX53gwgha7
